Signatur;Geschäftstyp;Partei;Urheber/in;Titel;Beginn-Datum;Ende;Thema 1;Thema 2;Schwerpunkt;Geschäft;Status
20.5333;Anzug;;Stöcklin, Jürg;Anzug Jürg Stöcklin und Konsorten betreffend Neustart 2020: Zukunftsgerichtete, nachhaltige Investition zur Abschwächung der Klimaerhitzung, zur Verbesserung des Stadtklimas und gleichzeitigen Stärkung der Wirtschaft nach dem Corona-Lockdown;2020-10-14;;Klima & Luft;Staatsfinanzen;Klimawandel;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110485;B
20.5331;Anzug;SP;Mattmüller, Georg;Anzug Georg Mattmüller und Edibe Gölgeli betreffend Neustart 2020: Zukunftsgerichtete, nachhaltige Investitionen in den Care-Bereich zur Stärkung der Wirtschaft nach dem Corona-Lockdown;2020-10-14;;Gesundheitsversorgung;Kinder, Jugendliche & Familien;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110483;B
20.5330;Anzug;;Wenk, Kerstin;Anzug Kerstin Wenk und Konsorten betreffend kleinere Bebbisäcke;2020-10-14;;Abfall & Recycling;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110481;A
20.5346;Interpellation;LDP;Alioth, Catherine;Interpellation Nr. 105 Catherine Alioth betreffend Zukunft der Ballettschule Theater Basel (BTB);2020-10-14;;Mittelschulen & Berufsbildung;Künste & Unterhaltung;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110475;A
20.5345;Interpellation;LDP;Ebi, Alex;Interpellation Nr. 104 Alex Ebi betreffend Problematik mit Bettlerei;2020-10-14;;Nutzung & Regulierung;Migration & Integration;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110474;A
20.5350;Schriftliche Anfrage;SP;Brigger, René;Schriftliche Anfrage René Brigger  betreffend Senkung des Zweitwohnungsanteils von 12,7% in Basel;2020-09-09;;Wohnen;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110473;A
20.5322;Interpellation;BastA!;Bolliger, Oliver;Interpellation Nr. 99 Oiver Bolliger betreffend Positionierung des Regierungsrates zur Konzernverantwortungsinitiative;2020-09-09;;Parlament & Regierung;Privatwirtschaft & Standort;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110462;A
20.5320;Schriftliche Anfrage;SP;Mathys, Lisa;Schriftliche Anfrage Lisa Mathys betreffend eine statt zwei Baustellen in der St. Alban-Vorstadt;2020-09-09;;Gestaltung & Infrastruktur;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110460;A
20.5318;Interpellation;SP;Roth, Franziska;Interpellation Nr. 96 Franziska Roth betreffend Sparmassnahmen bei den Deutsch- und Integrationskursen im Kanton Basel-Stadt;2020-09-09;;Migration & Integration;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110458;A
20.5314;Interpellation;SVP;Messerli, Pascal;Interpellation Nr. 93 Pascal Messerli betreffend Causa Elisabeth Ackermann: Kosten für die Steuerzahlenden;2020-09-09;;Künste & Unterhaltung;Staatsfinanzen;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110452;A
20.5308;Schriftliche Anfrage;SP;Amacher, Nicole;Schriftliche Anfrage Nicole Amacher betreffend Zugang zu geeigneter Unterkunft,  Beratung und Übersetzung für Betroffene von Menschenhandel mit Tatort Ausland (inkl. Personen aus dem Asylbereich) im Kanton BS;2020-09-09;;Polizei & Kriminalität;Migration & Integration;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110446;A
20.5307;Interpellation;SP;Yilmaz, Semseddin;"Interpellation Nr. 91 Semseddin Yilmaz betreffend der anstehenden Sanierung der Hochstrasse sowie möglicher Baumbepflanzung und der möglichen Begrünung des ""IWB-Platzes"" an der Solothurnerstrasse";2020-09-09;;Stadtgrün;;Klimawandel;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110445;A
20.5304;Schriftliche Anfrage;LDP;Hettich, Daniel;Schriftliche Anfrage Daniel Hettich betreffend LIV Leben in Vielfalt;2020-09-09;;Menschen mit Behinderung;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110441;A
20.5299;Anzug;;Vischer, Heiner;Anzug Heiner Vischer und Konsorten betreffend Begleitveranstaltungen und -massnahmen während der künftigen Durchführungen der Art Basel;2020-09-09;;Privatwirtschaft & Standort;Künste & Unterhaltung;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110436;A
20.5289;Anzug;SP;Miozzari, Claudio;Anzug Claudio Miozzari und Konsorten betreffend Veloweg auf dem Petersplatz;2020-09-09;;Veloverkehr;Gestaltung & Infrastruktur;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110421;B
20.5287;Anzug;Mitte;Isler, Beatrice;Anzug Beatrice Isler betreffend begrünte Tram- und Buswartehallen;2020-09-09;;Öffentlicher Verkehr;Biodiversität;Klimawandel;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110419;A
20.5286;Interpellation;LDP;Ebi, Alex;Interpellation Nr. 83 Alex Ebi betreffend Miteinander statt Gegeneinander im Rhein;2020-09-09;;Nutzung & Regulierung;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110418;A
20.5283;Interpellation;LDP;Auderset, André;Interpellation Nr. 80 André Auderset betreffend Frieren wegen schleppendem Bewilligungsverfahren?;2020-09-09;;Energieversorgung;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110415;A
20.5281;Anzug;SVP;Thüring, Joël;Anzug Joël Thüring betreffend Anpassung der PCG-Richtlinien des Kantons - Verwaltungsratsstellen sind im Sinne der Gleichberechtigung und Transparenz auszuschreiben;2020-09-09;;Verwaltung;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110413;B
20.5280;Schriftliche Anfrage;SP;Baumgartner, Beda;Schriftliche Anfrage Beda Baumgartner betreffend Umgang mit Flusskrebsen in Basel-Stadt;2020-09-09;;Biodiversität;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110412;A
20.5271;Anzug;SVP;Messerli, Pascal;Anzug Pascal Messerli und Konsorten betreffend mehr Entsorgungsmöglichkeiten für ein sauberes Basel;2020-09-09;;Abfall & Recycling;Gestaltung & Infrastruktur;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110399;B
20.5265;Anzug;BastA!;Zürcher, Tonja;Anzug Tonja Zürcher und Konsorten betreffend einer unabhängigen Beschwerdestelle;2020-09-09;;Polizei & Kriminalität;Migration & Integration;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110393;B
20.5263;Interpellation;LDP;Furlano, Raoul I.;Interpellation Nr. 76 Raoul I. Furlano betreffend Nutzung der Räumlichkeiten in der MCH Messe Schweiz (Basel) AG für Vorlesungen/Kurse/Veranstaltungen der Universität - jetzt und in Zukunft?;2020-09-09;;Hochschulen & Weiterbildung;;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110391;A
20.5257;Schriftliche Anfrage;Grüne;Hanauer, Raffaela;Schriftliche Anfrage Raffaela Hanauer betreffend Frauen*demonstration am 14. Juni;2020-06-24;;Polizei & Kriminalität;Politische Beteiligung;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110384;A
20.5253;Anzug;;Griss, Christian;Anzug Christian Griss und Konsorten betreffend Konzept und Signalisation für den Veloverkehr in den Langen Erlen;2020-09-09;;Veloverkehr;Stadtgrün;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110381;B
20.5242;Petition;;;"Petition P416 ""Rundum-Grün"" und diagonal";2020-06-24;;Fussverkehr;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110364;A
20.5239;Schriftliche Anfrage;;Keller, Esther;Schriftliche Anfrage Esther Keller betreffend Einbindung von Fahrzeugen der kantonalen Verwaltung in Carsharing-System;2020-06-03;;Verwaltung;Motorisierter Individualverkehr;Digitalisierung;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110361;A
20.5227;Motion;;Moesch, Christian C.;Motion Christian C. Moesch und Konsorten betreffend Aufhebung des steuerlichen Selbstbehalts bei der Geltendmachung von Abzügen für Krankheitskosten;2020-06-24;;Steuerpolitik;Gesundheitsversorgung;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110349;A
20.5222;Schriftliche Anfrage;;Grossenbacher, Thomas;Schriftliche Anfrage Thomas Grossenbacher betreffend Investitionen des Kantons Basel-Stadt in die Erhaltung und Förderung der Biodiversität;2020-06-03;;Biodiversität;Grenzüberschreitende Zusammenarbeit;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110343;A
20.5221;Schriftliche Anfrage;Grüne;Friedl, Harald;Schriftliche Anfrage Harald Friedl betreffend finanzieller und personeller Ressourcen für den Naturschutz im Kanton Basel-Stadt;2020-06-03;;Biodiversität;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110342;A
20.5218;Anzug;;Benz, Sibylle;Anzug Sibylle Benz und Konsorten betreffend kein Nachteil in der Schullaufbahn und beim Eintritt in die Lehre;2020-06-24;;Volksschulen & Tagesbetreuung;Kinder, Jugendliche & Familien;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110339;B
20.5210;Interpellation;;Keller, Esther;Interpellation Nr. 71 Esther Keller betreffend kantonale Einsatz- und Reaktionsstrategie für eine Proximity-Tracing-App;2020-06-03;;Gesundheitsversorgung;;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110327;A
20.5209;Interpellation;BastA!;Zürcher, Tonja;Interpellation Nr. 70 Tonja Zürcher betreffend rechtsextreme Netzwerke und rassistische Tendenzen in der Kantonspolizei?;2020-06-03;;Polizei & Kriminalität;Migration & Integration;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110326;A
20.5206;Interpellation;GLP;Wüest-Rudin, David;Interpellation Nr. 67 David Wüest-Rudin betreffend welche Strategie verfolgt der Kanton zur Überwindung von Covid-19 und welche Rolle spielen Antikörpertests dabei?;2020-06-03;;Gesundheitsförderung;;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110323;A
20.5198;Schriftliche Anfrage;;Leuthardt, Beat;Schriftliche Anfrage Beat Leuthardt betreffend Entlastung der Tram 3-Fahrgäste vor Verspätungen und Umwegen;2020-06-03;;Öffentlicher Verkehr;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110317;A
20.5199;Interpellation;;Vischer, Heiner;Interpellation Nr. 63 Heiner Vischer betreffend zusätzliche finanzielle Unterstützung für kommerziell tätige Unternehmen im Kulturbereich;2020-06-03;;Künste & Unterhaltung;Privatwirtschaft & Standort;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110316;A
20.5195;Schriftliche Anfrage;SVP;Amiet, Lorenz;Schriftliche Anfrage Lorenz Amiet betreffend Sicherheitskonzept des Grossen Rates;2020-06-03;;Parlament & Regierung;Polizei & Kriminalität;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110313;A
20.5190;Interpellation;LDP;Furlano, Raoul I.;Interpellation Nr. 59 Raoul I. Furlano betreffend Erhalt der Hauptpost als Folge der Neuausrichtung der Post;2020-06-03;;Kommunikationsinfrastruktur;Areale & Quartiere;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110304;A
20.5188;Schriftliche Anfrage;SVP;Messerli, Pascal;Schriftliche Anfrage Pascal Messerli betreffend Abschuss von Rehen auf dem Friedhof Hörnli;2020-05-13;;Stadtgrün;Biodiversität;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110302;A
20.5186;Anzug;Grüne;Thommen, Oliver;Anzug Oliver Thommen und Konsorten betreffend Förderung von einheimischem Holz als ökologischer und klimaneutraler Baustoff;2020-06-03;;Raumplanung;Klima & Luft;Klimawandel;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110300;B
20.5184;Anzug;SP;Mathys, Lisa;Anzug Lisa Mathys und Konsorten betreffend Veloschnellrouten;2020-06-03;;Veloverkehr;Verkehrssicherheit;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110298;B
20.5172;Interpellation;;Metzger, Ursula;Interpellation Nr. 56 Ursula Metzger betreffend der Situation von Sans-Papiers in Basel zu Zeiten der Corona-Pandemie;2020-05-13;;Migration & Integration;Sozialhilfe;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110287;A
20.5165;Interpellation;LDP;Ebi, Alex;Interpellation Nr. 52 Alex Ebi betreffend zeitlich befristete gebührenfreie Allmendbenutzung für Gastronomie- und Barbetriebe sowie Verkaufsgeschäfte ab dem 11. Mai 2020 während der Zeit des vorgeschriebenen Social Distancings;2020-05-13;;Nutzung & Regulierung;Privatwirtschaft & Standort;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110273;A
20.5155;Anzug;SP;Seggiani, Michela;Anzug Michela Seggiani und Konsorten betreffend Messe Basel als Zollfreimesse;2020-05-13;;Privatwirtschaft & Standort;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110262;B
20.5151;Interpellation;LDP;Auderset, André;Interpellation Nr. 48 André Auderset betreffend BVB mit Kurzarbeit statt Überstunden-Abbau;2020-05-13;;Arbeitsmarkt;Öffentlicher Verkehr;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110260;A
20.5144;Motion;;Leuthardt, Beat;"Motion Beat Leuthardt und Andreas Zappalà betreffend Mietzins-Hilfen für Basler Kleingeschäfte (""Dreidrittel-Rettungspaket"")";2020-04-22;;Privatwirtschaft & Standort;;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110247;A
